Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
9/24/19,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"transworld systems inc. 
is trying to collect a debt that is not mine, not owed and is inaccurate.",,TRANSWORLD SYSTEMS INC,FL,33533,Consent provided,Web,9/24/19,Closed with explanation,Yes,N/A,3384392
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,PA,15206,Consent not provided,Web,9/20/19,Closed with non-monetary relief,Yes,N/A,3379500
10/25/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I would like to request the suppression of the following items from my credit report, which are the result of my falling victim to identity theft. This information does not relate to [ transactions that I have made/accounts that I have opened ], as the attached supporting documentation can attest. As such, it should be blocked from appearing on my credit report pursuant to section 605B of the Fair Credit Reporting Act.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,93733,Consent provided,Web,10/25/19,Closed with explanation,Yes,N/A,3417821
11/8/19,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Over the past 2 weeks, I have been receiving excessive amounts of telephone calls from the company listed in this complaint. The calls occur between 3434 3434 and 3434 3434 to my cell and at my job. The company does not have the right to harass me at work and I want this to stop. It is extremely distracting to be told 5 times a day that I have a call from this collection agency while at work.",,"Diversified Consultants, Inc.",NC,27599,Consent provided,Web,11/8/19,Closed with explanation,Yes,N/A,3433198
2/8/19,Vehicle loan or lease,Lease,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,,HYUNDAI CAPITAL AMERICA,FL,33161,Consent not provided,Web,2/8/19,Closed with non-monetary relief,Yes,N/A,3146310
9/16/19,Debt collection,I do not know,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"This complain it against Fifth Third Bank. ( for the past two days ) everything starte a week ago I was receiving phone call, no name? no phone number? the phone was ringing for 2 minutes hang up. On 34/34/3434 I receive a phone call between 3434 afternoon a person giving me his name 3434 3434 3434 3434 the first thing I thought you know this is a scam I don't know anything I bought collection he has all my personal information the person that started telling me my name he knew my name he knew my social security number!! that's against the Federal law ( the 42 sec. "" "" 408 Whoever ( 8 ) this disclose uses, or compels the disclosure of this social security number of any person in Violation of the law of the United State should be guilty of a felony and up conviction thereof be fined on the title 18 or imprisoned for not more than 5 years or both. '' And this individual was threatened me with legal document they I needed to sign it and there was threaten me to come to my house for my signature. according to my ucc-1 The Uniform Commercial Code I file a New York with my trademark copyright with my deceased letter they I have send to every Institution,. I'm not in the public sade, I'm a private individual protected under my ucc-1 trade name copyright.. 
Whoever violate my private security agreement trademark copyright can be up to 3434 action.",,FIFTH THIRD FINANCIAL CORPORATION,IN,46699,Consent provided,Web,9/16/19,Closed with explanation,Yes,N/A,3375510
3/30/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,,HYUNDAI CAPITAL AMERICA,CA,92612,Consent not provided,Web,3/30/19,Closed with explanation,Yes,N/A,3196090
6/17/20,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,,FIFTH THIRD FINANCIAL CORPORATION,IL,60640,N/A,Referral,6/19/20,Closed with explanation,Yes,N/A,3706449
10/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,92543,Other,Web,10/24/19,Closed with explanation,Yes,N/A,3416481
11/20/19,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Company closed your account,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PENTAGON FEDERAL CREDIT UNION,VA,22304,N/A,Referral,11/21/19,Closed with explanation,Yes,N/A,3446074
