index,DateReceived,Product,SubProduct,Issue,SubIssue,ConsumerComplaintNarrative,CompanyPublicResponse,Company,State,ZipCode,Tags,ConsumerConsentProvided?,SubmittedVia,DateSentToCompany,CompanyResponseToConsumer,TimelyResponse?,ConsumerDisputed?,ComplaintId,
0,0,12/5/11,Credit card,None,Rewards,None,None,None,Discover,NY,13835,None,None,Postal mail,12/6/11,Closed without relief,Yes,No,2922
1,1,12/5/11,Credit card,None,Billing disputes,None,None,None,Capital One,NY,11582,None,None,Referral,12/5/11,Closed with relief,Yes,No,2928
2,2,12/5/11,Credit card,None,Closing/Cancelling account,None,None,None,Bank of America,NC,28411,Servicemember,None,Phone,12/9/11,Closed with relief,Yes,Yes,2929
3,3,12/5/11,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",None,None,None,Wells Fargo & Company,VA,20194,None,None,Web,12/6/11,Closed without relief,Yes,Yes,2931
4,4,12/5/11,Credit card,None,Identity theft / Fraud / Embezzlement,None,None,None,JPMorgan Chase & Co.,IL,60202,None,None,Referral,12/5/11,Closed without relief,Yes,No,2934
5,5,12/5/11,Credit card,None,Collection debt dispute,None,None,None,Bank of America,CA,95648,None,None,Referral,12/5/11,Closed with relief,Yes,No,2937
6,6,12/5/11,Credit card,None,Credit determination,None,None,None,JPMorgan Chase & Co.,TX,78041,None,None,Fax,12/9/11,Closed without relief,Yes,Yes,2939
7,7,12/5/11,Credit card,None,Billing disputes,None,None,None,Capital One,VT,5043,None,None,Referral,12/5/11,Closed with relief,Yes,No,2940
8,8,12/5/11,Credit card,None,Credit card protection / Debt protection,None,None,None,Capital One,KS,67579,Older American,None,Phone,12/9/11,Closed without relief,Yes,No,2942
9,9,12/5/11,Credit card,None,Rewards,None,None,None,Discover,NY,13835,None,None,Postal mail,12/6/11,Closed without relief,Yes,No,2922
10,10,12/5/11,Credit card,None,Billing disputes,None,None,None,Capital One,NY,11582,None,None,Referral,12/5/11,Closed with relief,Yes,No,2928
11,11,12/5/11,Credit card,None,Closing/Cancelling account,None,None,None,Bank of America,NC,28411,Servicemember,None,Phone,12/9/11,Closed with relief,Yes,Yes,2929
12,12,12/5/11,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",None,None,None,Wells Fargo & Company,VA,20194,None,None,Web,12/6/11,Closed without relief,Yes,Yes,2931
13,13,12/5/11,Credit card,None,Identity theft / Fraud / Embezzlement,None,None,None,JPMorgan Chase & Co.,IL,60202,None,None,Referral,12/5/11,Closed without relief,Yes,No,2934
14,14,12/5/11,Credit card,None,Collection debt dispute,None,None,None,Bank of America,CA,95648,None,None,Referral,12/5/11,Closed with relief,Yes,No,2937
15,15,12/5/11,Credit card,None,Credit determination,None,None,None,JPMorgan Chase & Co.,TX,78041,None,None,Fax,12/9/11,Closed without relief,Yes,Yes,2939
16,16,12/5/11,Credit card,None,Billing disputes,None,None,None,Capital One,VT,5043,None,None,Referral,12/5/11,Closed with relief,Yes,No,2940
17,17,12/5/11,Credit card,None,Credit card protection / Debt protection,None,None,None,Capital One,KS,67579,Older American,None,Phone,12/9/11,Closed without relief,Yes,No,2942
18,18,12/5/11,Credit card,None,Rewards,None,None,None,Discover,NY,13835,None,None,Postal mail,12/6/11,Closed without relief,Yes,No,2922
19,19,12/5/11,Credit card,None,Billing disputes,None,None,None,Capital One,NY,11582,None,None,Referral,12/5/11,Closed with relief,Yes,No,2928
20,20,12/5/11,Credit card,None,Closing/Cancelling account,None,None,None,Bank of America,NC,28411,Servicemember,None,Phone,12/9/11,Closed with relief,Yes,Yes,2929
21,21,12/5/11,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",None,None,None,Wells Fargo & Company,VA,20194,None,None,Web,12/6/11,Closed without relief,Yes,Yes,2931
22,22,12/5/11,Credit card,None,Identity theft / Fraud / Embezzlement,None,None,None,JPMorgan Chase & Co.,IL,60202,None,None,Referral,12/5/11,Closed without relief,Yes,No,2934
23,23,12/5/11,Credit card,None,Collection debt dispute,None,None,None,Bank of America,CA,95648,None,None,Referral,12/5/11,Closed with relief,Yes,No,2937
